Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,Last 7 Days,CoinA,happyness,likers
,1,Bitcoin  BTC  BTC,"$36,504",-0.8%,2.1%,-4.9%,"$50,298,951,404","$679,110,481,486",,https://www.coingecko.com/en/coins/Bitcoin,73.39%,
,2,Ethereum  ETH  ETH,"$1,239.71",-0.6%,0.1%,-2.2%,"$33,552,314,524","$141,980,378,037",,https://www.coingecko.com/en/coins/Ethereum,82.78%,
,3,Tether  USDT  USDT,$0.998946,0.0%,-0.0%,-0.3%,"$82,215,832,021","$24,332,466,662",,https://www.coingecko.com/en/coins/Tether,31.9%,
,4,Polkadot  DOT  DOT,$17.13,1.2%,-0.6%,83.6%,"$2,667,005,291","$16,421,614,415",,https://www.coingecko.com/en/coins/Polkadot,79.09%,
,5,XRP  XRP  XRP,$0.284411,-0.5%,2.6%,-10.8%,"$2,630,497,159","$12,969,428,398",,https://www.coingecko.com/en/coins/XRP,49.35%,
,6,Cardano  ADA  ADA,$0.372919,-0.3%,-0.8%,21.8%,"$4,378,336,196","$11,602,427,752",,https://www.coingecko.com/en/coins/Cardano,91.03%,
,7,Litecoin  LTC  LTC,$149.62,-1.2%,4.4%,-12.7%,"$5,762,104,986","$9,908,326,381",,https://www.coingecko.com/en/coins/Litecoin,71.89%,
,8,Bitcoin Cash  BCH  BCH,$494.65,-1.0%,2.5%,-18.3%,"$5,665,939,964","$9,215,672,713",,https://www.coingecko.com/en/coins/Bitcoin-Cash,66.4%,
,9,Chainlink  LINK  LINK,$21.78,0.6%,5.3%,33.9%,"$3,533,400,466","$8,743,254,765",,https://www.coingecko.com/en/coins/Chainlink,90.44%,
,11,Binance Coin  BNB  BNB,$44.64,0.3%,4.1%,4.8%,"$859,776,348","$6,601,256,115",,https://www.coingecko.com/en/coins/Binance-Coin,89.71%,
,10,Stellar  XLM  XLM,$0.298622,-0.4%,-0.9%,3.2%,"$1,217,971,319","$6,598,243,060",,https://www.coingecko.com/en/coins/Stellar,83.99%,
,12,USD Coin  USDC  USDC,$1.00,0.3%,-0.5%,0.0%,"$1,392,777,908","$5,102,634,196",,https://www.coingecko.com/en/coins/USD-Coin,78.13%,
,13,Wrapped Bitcoin  WBTC  WBTC,"$36,539",-0.9%,2.8%,-4.9%,"$208,026,569","$4,047,550,011",,https://www.coingecko.com/en/coins/Wrapped-Bitcoin,68.75%,
,14,Bitcoin SV  BSV  BSV,$205.57,-0.4%,1.8%,-18.7%,"$992,190,964","$3,829,507,152",,https://www.coingecko.com/en/coins/Bitcoin-SV,53.06%,
,15,Monero  XMR  XMR,$153.31,0.8%,-0.5%,-17.8%,"$491,749,261","$2,736,835,802",,https://www.coingecko.com/en/coins/Monero,86.27%,
,16,EOS  EOS  EOS,$2.78,-0.8%,1.1%,-10.0%,"$2,486,907,835","$2,645,849,410",,https://www.coingecko.com/en/coins/EOS,68.49%,
,17,Aave  AAVE  AAVE,$186.64,-0.0%,-2.6%,46.3%,"$579,027,192","$2,282,793,848",,https://www.coingecko.com/en/coins/Aave,90.11%,
,18,Tezos  XTZ  XTZ,$3.01,-0.3%,3.7%,8.3%,"$314,830,449","$2,279,234,570",,https://www.coingecko.com/en/coins/Tezos,85.37%,
,19,TRON  TRX  TRX,$0.03116235,-0.9%,2.8%,-5.5%,"$1,377,874,141","$2,233,100,771",,https://www.coingecko.com/en/coins/TRON,79.37%,
,21,Cosmos  ATOM  ATOM,$8.98,0.4%,6.7%,39.1%,"$1,120,793,152","$2,145,836,140",,https://www.coingecko.com/en/coins/Cosmos,77.97%,
,20,Synthetix Network Token  SNX  SNX,$15.34,-0.4%,-0.6%,7.6%,"$178,687,091","$2,144,044,877",,https://www.coingecko.com/en/coins/Synthetix-Network,,
,22,NEM  XEM  XEM,$0.226542,0.2%,2.8%,-3.9%,"$86,507,414","$2,038,874,887",,https://www.coingecko.com/en/coins/NEM,82.0%,
,23,Theta Network  THETA  THETA,$2.02,-1.0%,-0.4%,1.4%,"$103,764,102","$2,021,060,877",,https://www.coingecko.com/en/coins/Theta-Network,82.69%,
,24,Uniswap  UNI  UNI,$9.21,-2.2%,8.6%,53.1%,"$861,500,475","$1,975,721,647",,https://www.coingecko.com/en/coins/Uniswap,89.62%,
,25,NEO  NEO  NEO,$27.17,-0.6%,17.4%,8.6%,"$1,217,600,069","$1,916,189,449",,https://www.coingecko.com/en/coins/NEO,86.75%,
,26,VeChain  VET  VET,$0.02928712,-1.0%,10.4%,7.4%,"$438,402,652","$1,902,884,567",,https://www.coingecko.com/en/coins/VeChain,92.11%,
,27,Crypto.com Coin  CRO  CRO,$0.08040158,-1.0%,2.9%,3.0%,"$63,667,363","$1,829,264,467",,https://www.coingecko.com/en/coins/Crypto.com-Coin,,
,28,OKB  OKB  OKB,$6.56,0.1%,8.0%,-7.0%,"$186,703,579","$1,780,358,349",,https://www.coingecko.com/en/coins/OKB,57.14%,
,29,Celsius Network  CEL  CEL,$4.63,-0.9%,1.6%,-15.4%,"$18,926,629","$1,774,431,723",,https://www.coingecko.com/en/coins/Celsius-Network,,
,30,cUSDC  CUSDC  CUSDC,$0.02142291,-0.1%,0.1%,-0.0%,"$5,809,169","$1,395,098,001",,https://www.coingecko.com/en/coins/cUSDC,,
,31,Dai  DAI  DAI,$1.00,0.2%,-0.2%,-0.0%,"$329,301,576","$1,392,861,070",,https://www.coingecko.com/en/coins/Dai,80.95%,
,32,cETH  CETH  CETH,$24.88,-0.7%,0.7%,-1.7%,"$6,164,266","$1,386,269,928",,https://www.coingecko.com/en/coins/cETH,,
,33,LEO Token  LEO  LEO,$1.38,-0.3%,-1.5%,3.3%,"$1,789,679","$1,337,393,533",,https://www.coingecko.com/en/coins/LEO-Token,50.0%,
,34,IOTA  MIOTA  MIOTA,$0.478337,-0.3%,13.0%,11.5%,"$73,781,580","$1,329,552,047",,https://www.coingecko.com/en/coins/IOTA,91.13%,
,35,Maker  MKR  MKR,"$1,443.34",-0.5%,-1.5%,-5.1%,"$149,099,567","$1,305,227,502",,https://www.coingecko.com/en/coins/Maker,83.33%,
,36,Dash  DASH  DASH,$126.48,-0.5%,1.3%,-14.9%,"$814,137,088","$1,258,040,306",,https://www.coingecko.com/en/coins/Dash,77.19%,
,37,Dogecoin  DOGE  DOGE,$0.00913423,-0.4%,-0.7%,-7.6%,"$319,181,118","$1,175,473,867",,https://www.coingecko.com/en/coins/Dogecoin,76.32%,
,38,Binance USD  BUSD  BUSD,$1.00,0.2%,0.0%,-0.1%,"$1,743,866,077","$1,157,680,440",,https://www.coingecko.com/en/coins/Binance-USD,90.0%,
,39,yearn.finance  YFI  YFI,"$37,923",-1.5%,9.6%,10.8%,"$1,154,838,391","$1,137,835,683",,https://www.coingecko.com/en/coins/yearn.finance,,
,40,Zcash  ZEC  ZEC,$102.23,-0.6%,0.6%,6.6%,"$1,494,901,209","$1,094,598,497",,https://www.coingecko.com/en/coins/Zcash,76.0%,
,41,Filecoin  FIL  FIL,$23.91,-0.1%,-3.4%,1.4%,"$255,550,538","$1,066,785,342",,https://www.coingecko.com/en/coins/Filecoin,74.63%,
,42,Huobi Token  HT  HT,$5.47,-0.1%,3.4%,-2.0%,"$239,985,513","$1,057,455,212",,https://www.coingecko.com/en/coins/Huobi-Token,88.89%,
,43,Solana  SOL  SOL,$3.97,0.3%,12.0%,14.2%,"$123,530,720","$1,039,303,245",,https://www.coingecko.com/en/coins/Solana,78.75%,
,44,Avalanche  AVAX  AVAX,$13.41,1.0%,2.1%,103.3%,"$183,003,843","$1,024,266,284",,https://www.coingecko.com/en/coins/Avalanche,82.47%,
,45,Kusama  KSM  KSM,$109.81,-0.5%,10.2%,54.1%,"$235,080,995","$977,216,196",,https://www.coingecko.com/en/coins/Kusama,90.19%,
,46,Compound  COMP  COMP,$226.31,-0.5%,6.6%,14.8%,"$99,752,995","$936,922,607",,https://www.coingecko.com/en/coins/Compound,83.33%,
,47,FTX Token  FTT  FTT,$10.46,-0.9%,11.1%,12.3%,"$31,441,279","$935,534,617",,https://www.coingecko.com/en/coins/FTX-Token,90.91%,
,48,Sushi  SUSHI  SUSHI,$7.15,-2.0%,1.8%,61.8%,"$624,509,140","$906,245,567",,https://www.coingecko.com/en/coins/Sushi,75.6%,
,49,Ethereum Classic  ETC  ETC,$7.75,-1.1%,1.2%,-13.2%,"$1,178,863,561","$901,321,650",,https://www.coingecko.com/en/coins/Ethereum-Classic,87.88%,
,50,Zilliqa  ZIL  ZIL,$0.07745406,-1.3%,3.7%,4.9%,"$205,536,065","$898,913,213",,https://www.coingecko.com/en/coins/Zilliqa,90.4%,
,51,cDAI  CDAI  CDAI,$0.02099891,0.2%,0.4%,0.3%,"$24,234,080","$798,670,837",,https://www.coingecko.com/en/coins/cDAI,66.67%,
,52,The Graph  GRT  GRT,$0.626552,-1.2%,32.3%,91.0%,"$1,074,090,230","$764,712,604",,https://www.coingecko.com/en/coins/The-Graph,90.88%,
,53,Waves  WAVES  WAVES,$7.58,-0.5%,-5.0%,17.0%,"$274,330,340","$758,410,479",,https://www.coingecko.com/en/coins/Waves,92.05%,
,54,Decred  DCR  DCR,$56.00,-0.7%,-1.5%,0.3%,"$10,890,716","$700,043,778",,https://www.coingecko.com/en/coins/Decred,100.0%,
,55,Elrond  EGLD  EGLD,$39.67,-0.9%,3.7%,9.0%,"$78,815,576","$672,690,592",,https://www.coingecko.com/en/coins/Elrond,96.15%,
,56,Huobi BTC  HBTC  HBTC,"$36,822",-0.9%,4.2%,-4.1%,"$1,298,547","$656,639,550",,https://www.coingecko.com/en/coins/Huobi-BTC,66.67%,
,57,Near  NEAR  NEAR,$2.44,-1.8%,-8.6%,40.8%,"$100,363,476","$626,859,698",,https://www.coingecko.com/en/coins/Near,89.19%,
,58,UMA  UMA  UMA,$11.19,0.6%,8.7%,17.9%,"$39,484,966","$618,836,666",,https://www.coingecko.com/en/coins/UMA,75.0%,
,59,OMG Network  OMG  OMG,$4.08,-0.6%,8.7%,11.1%,"$989,812,721","$573,071,725",,https://www.coingecko.com/en/coins/OMG-Network,79.84%,
,60,Ontology  ONT  ONT,$0.704042,-0.9%,8.2%,6.5%,"$353,074,648","$567,209,650",,https://www.coingecko.com/en/coins/Ontology,87.1%,
,62,REN  REN  REN,$0.587002,0.6%,-7.2%,41.7%,"$181,762,977","$517,143,368",,https://www.coingecko.com/en/coins/REN,90.91%,
,61,Loopring  LRC  LRC,$0.413047,-0.8%,7.3%,16.3%,"$161,485,502","$514,917,490",,https://www.coingecko.com/en/coins/Loopring,91.43%,
,63,Nano  NANO  NANO,$3.63,-1.8%,7.5%,12.4%,"$74,356,775","$483,707,680",,https://www.coingecko.com/en/coins/Nano,88.79%,
,64,renBTC  RENBTC  RENBTC,"$36,425",-1.0%,2.5%,-5.2%,"$10,432,700","$478,280,519",,https://www.coingecko.com/en/coins/renBTC,25.0%,
,65,Paxos Standard  PAX  PAX,$1.00,0.1%,-1.5%,-0.1%,"$99,211,984","$469,324,601",,https://www.coingecko.com/en/coins/Paxos-Standard,33.33%,
,66,THORChain  RUNE  RUNE,$2.03,0.4%,4.5%,38.5%,"$28,511,937","$466,701,818",,https://www.coingecko.com/en/coins/THORChain,87.3%,
,68,0x  ZRX  ZRX,$0.597246,0.3%,5.7%,12.9%,"$182,938,183","$449,276,504",,https://www.coingecko.com/en/coins/0x,94.29%,
,67,Blockstack  STX  STX,$0.490786,-0.2%,2.7%,3.2%,"$7,957,948","$449,152,332",,https://www.coingecko.com/en/coins/Blockstack,89.33%,
,69,Algorand  ALGO  ALGO,$0.555842,0.4%,3.6%,20.0%,"$443,566,453","$446,858,263",,https://www.coingecko.com/en/coins/Algorand,88.83%,
,70,ICON  ICX  ICX,$0.744682,0.8%,12.6%,16.8%,"$90,341,450","$434,986,979",,https://www.coingecko.com/en/coins/ICON,93.44%,
,71,Basic Attention Token  BAT  BAT,$0.282933,-1.7%,7.6%,9.4%,"$212,867,936","$419,827,090",,https://www.coingecko.com/en/coins/Basic-Attention,,
,72,Hedera Hashgraph  HBAR  HBAR,$0.06168833,-1.9%,5.9%,23.8%,"$52,907,974","$417,968,399",,https://www.coingecko.com/en/coins/Hedera-Hashgraph,85.88%,
,73,TrueUSD  TUSD  TUSD,$1.00,0.1%,-0.3%,-0.1%,"$113,205,552","$416,270,540",,https://www.coingecko.com/en/coins/TrueUSD,,
,74,Reserve Rights Token  RSR  RSR,$0.04379638,0.2%,7.4%,1.6%,"$199,099,084","$409,399,976",,https://www.coingecko.com/en/coins/Reserve-Rights,,
,75,Terra  LUNA  LUNA,$0.805211,0.3%,1.3%,-5.0%,"$17,114,454","$390,386,050",,https://www.coingecko.com/en/coins/Terra,88.46%,
,76,DigiByte  DGB  DGB,$0.02691275,-1.7%,0.2%,-10.3%,"$17,188,747","$375,717,628",,https://www.coingecko.com/en/coins/DigiByte,84.48%,
,77,NEXO  NEXO  NEXO,$0.645994,-0.1%,0.2%,3.3%,"$5,704,057","$361,756,582",,https://www.coingecko.com/en/coins/NEXO,91.53%,
,78,IOST  IOST  IOST,$0.01954074,0.4%,6.3%,91.2%,"$532,604,023","$359,981,574",,https://www.coingecko.com/en/coins/IOST,85.19%,
,79,Qtum  QTUM  QTUM,$3.29,-0.3%,8.9%,-4.4%,"$553,774,183","$339,917,455",,https://www.coingecko.com/en/coins/Qtum,77.08%,
,80,Aave LINK  ALINK  ALINK,$21.63,1.1%,5.4%,31.2%,"$10,003,051","$330,885,424",,https://www.coingecko.com/en/coins/Aave-LINK,66.67%,
,82,Horizen  ZEN  ZEN,$30.26,0.5%,15.6%,40.9%,"$80,484,149","$318,986,050",,https://www.coingecko.com/en/coins/Horizen,84.42%,
,81,Nexus Mutual  NXM  NXM,$47.03,-1.4%,-0.4%,-3.5%,"$40,425","$315,712,380",,https://www.coingecko.com/en/coins/Nexus-Mutual,87.5%,
,83,Energy Web Token  EWT  EWT,$9.54,0.6%,10.2%,38.0%,"$2,895,444","$311,304,174",,https://www.coingecko.com/en/coins/Energy-Web,,
,84,Bitcoin Cash ABC  BCHA  BCHA,$15.72,-0.3%,1.1%,-25.4%,"$11,051,255","$292,317,168",,https://www.coingecko.com/en/coins/Bitcoin-Cash,66.93%,
,85,Curve DAO Token  CRV  CRV,$1.51,-0.2%,-5.7%,98.4%,"$377,217,834","$287,792,197",,https://www.coingecko.com/en/coins/Curve-DAO,,
,86,Ampleforth  AMPL  AMPL,$1.07,-1.2%,17.2%,17.6%,"$9,346,217","$286,951,595",,https://www.coingecko.com/en/coins/Ampleforth,91.49%,
,87,SwissBorg  CHSB  CHSB,$0.305521,0.0%,1.7%,4.3%,"$1,546,109","$284,517,852",,https://www.coingecko.com/en/coins/SwissBorg,100.0%,
,88,HUSD  HUSD  HUSD,$1.00,0.5%,0.3%,1.1%,"$50,292,067","$280,014,653",,https://www.coingecko.com/en/coins/HUSD,50.0%,
,89,Voyager Token  VGX  VGX,$1.20,4.2%,8.5%,124.9%,"$11,547,817","$265,866,367",,https://www.coingecko.com/en/coins/Voyager-Token,93.04%,
,90,Empty Set Dollar  ESD  ESD,$0.527214,-9.3%,-20.5%,-21.9%,"$6,308,598","$258,449,481",,https://www.coingecko.com/en/coins/Empty-Set,,
,91,Kyber Network  KNC  KNC,$1.23,0.3%,2.6%,7.2%,"$65,969,800","$246,452,920",,https://www.coingecko.com/en/coins/Kyber-Network,87.1%,
,92,Ocean Protocol  OCEAN  OCEAN,$0.585153,-1.3%,1.3%,33.1%,"$80,577,477","$245,194,861",,https://www.coingecko.com/en/coins/Ocean-Protocol,91.39%,
,93,BitTorrent  BTT  BTT,$0.00036524,-0.5%,2.3%,-15.2%,"$163,354,824","$240,717,520",,https://www.coingecko.com/en/coins/BitTorrent,89.09%,
,94,Quant  QNT  QNT,$19.05,-1.1%,6.7%,17.2%,"$5,828,592","$235,463,192",,https://www.coingecko.com/en/coins/Quant,93.33%,
,95,Balancer  BAL  BAL,$21.49,-0.7%,9.7%,11.0%,"$93,013,952","$230,690,491",,https://www.coingecko.com/en/coins/Balancer,97.73%,
,96,Band Protocol  BAND  BAND,$10.03,-0.6%,-2.0%,9.3%,"$211,966,376","$224,450,017",,https://www.coingecko.com/en/coins/Band-Protocol,85.37%,
,97,Enjin Coin  ENJ  ENJ,$0.241893,-1.6%,6.7%,29.1%,"$130,188,861","$223,133,711",,https://www.coingecko.com/en/coins/Enjin-Coin,85.87%,
,101,Verge  XVG  XVG,$0.01336560,-1.4%,4.0%,-8.0%,"$20,068,943","$219,893,554",,https://www.coingecko.com/en/coins/Verge,92.04%,
,98,Siacoin  SC  SC,$0.00482739,-1.7%,6.8%,-1.1%,"$15,254,692","$219,380,870",,https://www.coingecko.com/en/coins/Siacoin,75.0%,
,99,Bitcoin Gold  BTG  BTG,$12.51,-0.7%,2.0%,-16.0%,"$33,821,758","$219,150,989",,https://www.coingecko.com/en/coins/Bitcoin-Gold,61.76%,
